productId,setName,productName,rarity,subTypeName,marketPrice,midPrice,lowPrice,highPrice
241858,SWSH06: Chilling Reign,Rapid Strike Scroll of the Skies,Uncommon,Normal,0.05,0.15,0.01,999.0
246722,SWSH07: Evolving Skies,Umbreon VMAX (Secret),Secret Rare,Holofoil,80.84,87.76,59.0,129.99
250306,Celebrations,Surfing Pikachu V,Ultra Rare,Holofoil,4.75,5.74,3.44,125.0
253122,SWSH08: Fusion Strike,Zarude,Uncommon,Reverse Holofoil,0.3,0.29,0.1,1.99
253122,SWSH08: Fusion Strike,Zarude,Uncommon,Normal,0.13,0.15,0.01,19.98
253378,SWSH08: Fusion Strike,Absol,Rare,Normal,0.3,0.27,0.07,5.08
253378,SWSH08: Fusion Strike,Absol,Rare,Reverse Holofoil,0.3,0.34,0.1,1.59
263874,SWSH09: Brilliant Stars,Lumineon V (Full Art),Ultra Rare,Holofoil,2.67,2.85,0.98,95.38
266434,SM - Celestial Storm,Code Card - Celestial Storm Single Pack Booster Blister [Tapu Fini],Code Card,Normal,,1.94,1.89,1.99
268226,Battle Academy 2022,Shinx - 091/264 (#20 Pikachu Stamped),Promo,Normal,0.23,0.28,0.15,19.98
268482,Shining Fates,Shining Fates V Tin Case,,Normal,,510.5,509.0,512.0
280514,XY Base Set,Code Card - Yveltal Figure Collection,Code Card,,,,,
285378,SWSH: Sword & Shield Promo Cards,Charizard VMAX - SWSH261,Promo,Holofoil,46.01,50.97,35.97,200.0
451778,SWSH12: Silver Tempest,Klinklang,Rare,Normal,0.09,0.18,0.01,1000.0
451778,SWSH12: Silver Tempest,Klinklang,Rare,Reverse Holofoil,0.31,0.32,0.18,2.99
452034,SWSH12: Silver Tempest Trainer Gallery,Rayquaza VMAX,Ultra Rare,Holofoil,210.99,229.99,178.98,997.54
476098,Prize Pack Series Cards,Ordinary Rod - 171/202,Uncommon,Holofoil,4.93,10.0,5.42,64.17
476098,Prize Pack Series Cards,Ordinary Rod - 171/202,Uncommon,Normal,0.98,1.0,0.7,39.7
477378,World Championship Decks,Desert Ruins - 2004 (Tsuguyoshi Yamato),Uncommon,Normal,2.74,2.75,2.29,40.1
477890,World Championship Decks,Pidgey - 2006 (Jimmy Ballard),Common,Normal,3.0,63.1,3.0,64.36
478146,SWSH: Crown Zenith,Luxio (42),Uncommon,Reverse Holofoil,0.35,0.35,0.2,999.0
